DEPTH,BS,CALI,CHR1,CHR2,CHRP,CHRS,DRHO,DT1R,DT2,DT2R,DT4P,DT4S,GR,HD1,HD2,HD3,NPOR,PEF,RHOB,SPR1,TENS,VPVS
2886.456,311.1,310.4691,0.9784,0.9751,0.9242,0.7956,2.238,485.4155,438.9817,461.1636,270.9005,478.851,76.6289,317.8921,306.1431,304.949,0.3264,4.0547,2499.4875,45.6907,6657.0,1.6205
2886.6084,311.1,310.4097,0.9788,0.9659,0.9099,0.686,0.9614,483.0697,436.9669,459.0471,266.4483,465.8688,79.713,317.6335,306.2689,305.0691,0.3213,3.966,2500.4521,44.9692,6674.0,1.64
2886.7608,311.1,310.6448,0.9791,0.9651,0.9017,0.6753,-0.4948,480.3787,436.5976,458.6591,263.8354,459.383,78.3934,317.9448,306.1816,304.2466,0.3296,3.934,2502.248,44.2877,6744.0,1.6548
2886.9132,311.1,310.3504,0.9767,0.9784,0.8909,0.6677,-4.6476,479.7763,437.3539,459.4536,260.6939,465.6516,72.3437,317.6792,306.2968,304.252,0.3095,4.1496,2512.2498,44.4307,6662.0,1.6777
2887.0656,311.1,310.7188,0.9778,0.9731,0.9006,0.7073,-12.5903,481.985,437.8391,459.9633,260.0114,462.1288,66.5313,317.6863,306.794,304.5141,0.2767,4.3,2522.5173,38.2264,6694.0,1.6839
2887.218,311.1,310.697,0.9798,0.9714,0.922,0.6729,-13.7104,482.8876,440.631,462.8963,258.744,467.0168,67.0206,319.2093,306.0894,305.4315,0.276,4.1295,2535.9592,36.6175,6727.0,1.703
2887.3704,311.1,310.2204,0.9805,0.9714,0.8897,0.6316,-12.1672,481.8752,448.6711,471.3427,263.4233,468.9359,70.6979,317.6682,307.6617,305.9041,0.3015,4.0408,2548.6436,43.4481,6714.0,1.7032
2887.5228,311.1,310.2316,0.9766,0.9674,0.8728,0.686,-11.5782,481.6025,444.7765,467.2513,264.96,471.0789,72.7218,317.2578,307.7365,305.726,0.3742,3.9966,2540.9336,46.9018,6778.0,1.6787
2887.6752,311.1,310.3404,0.9756,0.9695,0.8707,0.6323,-10.0869,480.3912,443.5534,465.9664,265.4443,466.8889,72.2473,317.7022,309.7487,305.6422,0.3284,4.1238,2525.936,44.6421,6799.0,1.671
2887.8276,311.1,310.146,0.9775,0.9707,0.8918,0.62,-7.7988,479.5584,441.42,463.7251,262.9761,469.0672,71.1798,316.7134,309.0124,305.3004,0.2921,4.1571,2522.8655,42.3414,6669.0,1.6786
2887.98,311.1,310.9066,0.9794,0.9726,0.8428,0.6348,-7.0282,480.7896,444.8532,467.3319,261.8575,469.4038,69.0372,316.9449,310.0574,304.6345,0.2698,4.2493,2535.7107,42.2919,6738.0,1.6988
2888.1324,311.1,309.4171,0.9811,0.9775,0.8391,0.6108,-1.301,485.0401,451.1025,476.1982,258.4821,466.2119,70.2234,317.3898,307.4274,305.8573,0.2734,4.4273,2558.1023,38.7461,6715.0,1.7452
2888.2848,311.1,310.1722,0.9819,0.9769,0.7932,0.7096,1.6556,487.5483,453.2153,478.4285,256.9116,470.0216,66.902,316.502,308.9268,305.2519,0.2898,4.4722,2569.2393,38.481,6718.0,1.7641
2888.4372,311.1,310.1351,0.9811,0.9785,0.8262,0.7645,4.6602,495.4203,457.596,483.0529,256.0462,473.9266,72.833,315.5134,309.5058,305.9872,0.276,4.4775,2563.0137,36.322,6779.0,1.7872
2888.5896,311.1,309.9348,0.9822,0.9744,0.8639,0.8216,3.9042,500.5896,461.3811,487.0486,258.3507,476.6337,72.7144,315.3646,310.1008,306.2601,0.3209,4.3878,2558.655,36.361,6746.0,1.7859
2888.742,311.1,309.6866,0.9783,0.9712,0.9111,0.8642,2.9106,507.0194,458.7986,484.3224,259.0768,476.7821,77.1553,314.7593,308.7922,307.2278,0.3524,4.4425,2556.876,33.7074,6821.0,1.7709
