2975.6,23.94797492,2.60992762,19.42388187,0.21132047,384.70779468,
2975.8,23.97337693,2.64502652,19.44483767,0.21783709,381.83021655,
2976.0,23.8154728,2.65468694,19.38582778,0.22570677,376.67290449,
2976.2,23.63091421,2.64310994,19.40304821,0.23600849,370.59561086,
2976.4,23.69350149,2.63110997,19.59799557,0.24513816,364.70927552,
2976.6,24.0009668,2.63030093,19.90409941,0.24679101,358.33558624,
2976.8,24.08161938,2.63071826,20.15621144,0.23958074,349.9183709,
2977.0,23.55246715,2.61436114,20.24865791,0.23181089,339.74541107,
2977.2,23.06688718,2.58082839,20.20354866,0.23544447,330.78494088,
2977.4,24.38458931,2.55708548,20.10864286,0.25314949,326.39401935,
2977.6,28.8515713,2.57533008,20.03285984,0.27256546,327.93667505,
2977.8,35.47251122,2.63919172,19.9962707,0.27593365,335.22065245,
2978.0,40.81024956,2.71304726,19.97641595,0.25706097,347.4230121,
2978.2,41.43010623,2.74872779,19.90971794,0.22782576,361.41957541,
2978.4,36.83102665,2.7246401,19.71438276,0.20826979,369.58155197,
2978.6,29.95695821,2.65960901,19.35743587,0.21063409,362.69753659,
2978.8,24.71762405,2.59227091,18.91796525,0.23251059,338.42204177,
2979.0,22.95696826,2.55154695,18.55801454,0.26271124,306.86977801,
2979.2,23.66604374,2.54425106,18.41160424,0.29038893,285.22065735,
2979.4,24.69952573,2.56201461,18.50047974,0.30806429,284.18191501,
2979.6,24.84697497,2.59245013,18.74967262,0.31002755,299.12386769,
2979.8,24.33155437,2.62636297,19.04706853,0.29363512,314.73889302,
2980.0,23.85905632,2.66221089,19.28910291,0.26461078,318.18797637,
2980.2,23.67412598,2.70681263,19.38563324,0.23848128,307.84362847,
2980.4,23.52471974,2.76638596,19.29588258,0.23195668,291.14090265,
2980.6,23.18332763,2.83206839,19.09466232,0.24980631,276.55034925,
2980.8,22.75910608,2.87705023,18.97587868,0.27980935,268.4809373,
2981.0,22.54941458,2.87412817,19.12649711,0.30190199,267.8190985,
2981.2,22.71709726,2.82023545,19.55584176,0.30407286,273.99081801,
2981.4,23.19165665,2.74285729,20.05590613,0.29004364,285.11331828,
2981.6,23.70793487,2.67955291,20.36057581,0.27353707,296.97349293,
2981.8,23.97137586,2.64935244,20.36232663,0.26581499,303.96266126,
2982.0,23.85089502,2.64258539,20.1774082,0.26855449,302.53955459,
2982.2,23.41913279,2.63584585,20.01148322,0.27617004,294.28697236,
