DEPT,PZ,GZ,CALI,SP
92.8,5.57956201,5.55517986,36.47881191,-2.61262356
93.0,5.57607411,5.49833414,36.89735674,-2.73652753
93.2,5.57258622,5.38525696,37.12051322,-2.90628161
93.4,5.56909832,5.33007189,34.95201951,-3.01202469
93.6,5.56561042,5.2889111,34.5856289,-3.09880998
93.8,5.56212253,5.24132768,34.43616011,-3.1760976
94.0,5.55863463,5.11304372,34.1654503,-3.17823219
94.2,5.55514674,5.04134972,37.63819587,-3.17592706
94.4,5.55165884,5.02746046,37.18807849,-3.17508323
94.6,5.54817094,4.92089511,37.17313383,-3.17517917
94.8,5.54468305,4.9058273,37.12716619,-3.17518248
95.0,5.54119515,4.90426483,36.79577096,-3.17518248
95.2,5.53770726,4.90512239,36.65242542,-3.17518248
95.4,5.53421936,4.87065689,37.70707632,-3.17518248
95.6,5.53073146,4.86266897,38.11863259,-3.17518248
95.8,5.52724357,4.86058795,38.64293079,-3.17518248
96.0,5.52375567,4.86045204,36.26044366,-3.17518248
96.2,5.52026779,4.86075142,35.94663917,-3.17518248
96.4,5.51678244,4.8608137,35.61613817,-3.17518248
96.6,5.51329785,4.8608137,35.35981047,-3.17518248
96.8,5.50979622,4.8608137,35.32237212,-3.17507633
97.0,5.50626995,4.8608137,35.20847916,-3.17456607
97.2,5.50298322,4.8608137,35.21316402,-3.17479771
97.4,5.49850362,4.8608137,35.85179708,-3.17834456
97.6,5.49434018,4.8608137,37.10184097,-3.19216801
97.8,5.49015603,4.8608137,37.3933863,-3.25172872
98.0,5.48595381,4.8608137,37.80502434,-3.25013741
98.2,5.48175145,4.8608137,38.35839091,-3.2482005
98.4,5.47755172,4.86058027,37.90268148,-3.24796977
98.6,5.47335201,4.86046904,37.29253944,-3.24817187
98.8,5.4691523,4.86182159,37.53179353,-3.24817518
99.0,5.46495258,4.86398846,38.29079904,-3.24817518
99.2,5.46075287,4.86383889,38.31034302,-3.24817518
99.4,5.45655316,4.99831893,38.15219047,-3.24817518
99.6,5.45235345,4.98912515,35.98265899,-3.24817518
99.8,5.44815374,4.98807458,35.79653335,-3.24817518
100.0,5.44395403,4.98921812,35.64527209,-3.24817518
100.2,5.43975432,4.98982423,35.57101089,-3.24817518
100.4,5.4355546,4.98951912,35.62069652,-3.24817518
100.6,5.43135489,4.9874381,35.62306852,-3.24817518
100.8,5.42715518,4.97924197,35.78797426,-3.24817518
101.0,5.42295547,4.94430673,35.67629366,-3.24817518
101.2,5.41875576,4.94597579,39.53605588,-3.24817518
101.4,5.41455605,4.9475743,38.82800815,-3.24817518
101.6,5.41035633,4.94274322,38.45623503,-3.24817518
101.8,5.40615662,4.98796625,40.17040598,-3.24817518
