DEPT,ÃÇ,ÏÇ,SP,CALI
2974.6,11.20604292,7.19572278,,24.34314787
2974.8,10.98482249,7.20623953,,24.24829985
2975.0,10.87202129,7.18202934,,24.24797172
2975.2,10.99794938,7.1192954,,24.31645608
2975.4,11.33536964,7.02050545,,24.38628253
2975.6,11.70787264,6.89739027,,24.40854493
2975.8,11.90443622,6.7743858,,24.38674074
2976.0,11.82650815,6.67561746,,24.36193899
2976.2,11.55863962,6.60466895,,24.37348537
2976.4,11.30122979,6.54482971,,24.43222604
2976.6,11.2139607,6.48263982,,24.52104925
2976.8,11.30029709,6.42513719,,24.61222416
2977.0,11.42961081,6.38967529,,24.68222669
2977.2,11.46254692,6.38125372,,24.71822049
2977.4,11.36142117,6.38722981,,24.71806928
2977.6,11.19659812,6.3930533,,24.68800788
2977.8,11.07425526,6.39484106,,24.63733423
2978.0,11.06481568,6.3950827,,24.57250902
2978.2,11.17660386,6.39265742,,24.50013806
2978.4,11.36883781,6.38545999,,24.43838187
2978.6,11.57781099,6.38076369,,24.41874444
2978.8,11.74790291,6.39374145,,24.46496308
2979.0,11.85772586,6.43093351,,24.56399988
2979.2,11.91880283,6.47901336,,24.66427644
2979.4,11.93726437,6.51547472,,24.71228824
2979.6,11.88361248,6.52944848,,24.69481287
2979.8,11.71701706,6.52724355,,24.64712037
2980.0,11.45435905,6.51969155,,24.62069168
2980.2,11.20124213,6.51172629,,24.64259701
2980.4,11.08160325,6.50760488,,24.69875778
2980.6,11.12155492,6.51740266,,24.74933024
2980.8,11.21248261,6.54830333,,24.76151964
2981.0,11.20318596,6.59105001,,24.73464547
2981.2,11.0280731,6.62488066,,24.69930154
2981.4,10.7390464,6.64081582,,24.68916068
2981.6,10.4327873,6.65354522,,24.70918002
2981.8,10.17958624,6.68391044,,24.73130156
2982.0,10.01918268,6.73168977,,24.72387764
2982.2,9.97262237,6.7726532,,24.68489855
2982.4,10.00843124,6.78501962,,24.64371148
2982.6,10.01004145,6.77416258,,24.629248
2982.8,9.84065059,6.76566106,,24.64020508
2983.0,9.4835339,6.77433211,,24.64992867
2983.2,9.10285914,6.78611144,,24.6389669
2983.4,8.92974138,6.77415409,,24.61581085
2983.6,9.07000129,6.73139541,,24.60172972
2983.8,9.42295805,6.68115279,,24.60223788
2984.0,9.77788668,6.65224612,,24.60610637
2984.2,9.97356139,6.64703644,,24.6147686
2984.4,9.97831478,6.64027676,,24.65573822
2984.6,9.86275491,6.60959555,,24.74557015
2984.8,9.72755907,6.56213162,,24.84261324
2985.0,9.64057665,6.52469889,,24.86202938
2985.2,9.60292506,6.50850765,,24.75733699
2985.4,9.55230228,6.49197919,,24.58164527
2985.6,9.41028009,6.44287857,,24.44906364
2985.8,9.15126242,6.35511699,,24.4316313
2986.0,8.83430114,6.2569898,,24.50135401
2986.2,8.57046576,6.18146807,,24.57238401
2986.4,8.44741906,6.13439544,,24.58549588
2986.6,8.46915741,6.09542389,,24.5452976
2986.8,8.56187353,6.0457054,,24.49150858
2987.0,8.63535662,5.98639633,,24.45496168
2987.2,8.65340327,5.92904588,,24.44111164
2987.4,8.65713178,5.8783313,,24.43732064
2987.6,8.72846491,5.83204466,,24.42446726
2987.8,8.9271714,5.79307327,,24.38977584
2988.0,9.25110818,5.76983251,,24.34073321
2988.2,9.63728269,5.76103497,,24.3058447
2988.4,9.99648185,5.74967237,,24.3120821
2988.6,10.25966367,5.72000312,,24.3581165
2988.8,10.42378817,5.67645932,,24.4126393
2989.0,10.56651348,5.63832808,,24.44264573
2989.2,10.79677179,5.61860732,,24.44330927
2989.4,11.15753136,5.61629889,,24.43960458
2989.6,11.56427175,5.62834076,,24.4594229
2989.8,11.86271822,5.65708408,,24.50465744
2990.0,11.96972863,5.69986344,,24.54965488
2990.2,11.95278147,5.73935428,,24.5683117
